# Configuration   1w      1w-p99      5w            5w-p99            10w       10w-p99     lc      tc
"Aft"             10.2    17.2        13.4          28.6              17.6      56.9        11      2
"Aft Batch"       9.9     15.3        10.9          18.3              12.3      25.5        13      2
"DynamoDB"        3.03    5.45        14.9          580               35.6      696         14      1
"DynamoDB Batch"  3.08    7.49        4.65          11.7              6.82      15.2        16      1
