# Length    dynamo-med    dynamo-p99    redis-med     redis-p99    lt    tc
1           43.0          101           27.0          69.6         11    2
2           70.3          141           49.8          115          12    2
4           123           216           96.6          176          13    2
6           175           280           144           238          14    2
8           221           334           191           291          15    1
10          270           403           239           352          16    1
