# ratio   dynamo-med    dynamo-p99    redis-med     redis-p99     lt    tc
"0%"      56.5          130           40.4          94.3          11    2
"20%"     58.1          135           42.6          100           12    2
"40%"     59.3          122           42.2          100           13    2
"60%"     60.8          123           42.1          94.2          14    2
"80%"     61.0          123           43.1          96.7          15    1
"100%"    58.1          124           42.2          94.1          16    1
